layer,strip,end,pedestal,mean,std_dev,pedestal_per_time_sample,pedestal_per_time_sample_mean,pedestal_per_time_sample_std_dev
16,6,1,760,13.248716325525779,13.615292623536073,95,95.93696224509914,1.3415532942358839
16,7,0,792,-0.4541933561745866,13.935361043564713,99,98.84388365876578,2.008353754155054
16,7,1,760,13.099933977163866,12.74694150649575,95,95.94385915024762,1.358859987689186
16,8,0,840,2.9634307302955816,10.028558666023873,105,105.36694332702228,1.8650859150542833
16,8,1,760,6.905973384352712,8.81797824274481,95,95.54012899434562,1.2318837841956285
16,9,0,728,6.183388167662395,13.068986550166219,91,91.08910875845119,1.644145065048378
16,9,1,760,-0.3952769087379563,8.524913833638873,95,94.90440280120828,1.0454237237501136
16,10,0,792,-9.459953680513404,10.992945243730478,99,97.82417587306955,2.0771990071794417
16,10,1,792,-2.7142006882896474,11.085579026012159,99,98.6725355636195,1.9880163240177255
16,11,0,824,-1.1249934370570014,8.395456232035883,103,102.91587292332808,1.3139732096018775
16,11,1,760,2.5360851808634775,8.366381583469172,95,95.16702580543438,1.1440985405911128
17,0,0,712,2.4873719616529546,8.653357606348857,89,89.23496544546083,1.4045186425107765
17,0,1,808,0.3797817730064226,9.350319300572055,101,101.04676030521502,1.4005475847124598
17,1,0,728,5.635733766195014,9.461793191825823,91,91.59279121547395,1.4097028165050813
17,1,1,792,-10.652696218848467,10.309752859372649,99,98.49546217647647,1.2107907266801763
