layer,strip,end,pedestal,mean,std_dev,pedestal_per_time_sample
14,0,0,760,-8.224547189197123,9.643194439155089,95
14,0,1,872,-4.575848666674495,9.987023981095954,109
14,1,0,760,20.58906274410835,11.229219941322778,95
14,1,1,808,3.795090881778579,10.549259457630372,101
14,2,0,760,-0.4519325944301199,10.96551895720216,95
14,2,1,728,4.284713990688353,10.312197647259445,91
14,3,0,792,-5.993031821979191,11.524734009413052,99
14,3,1,760,-5.695748208906104,10.51894496768214,95
14,4,0,840,-4.996589628161773,15.303684233854913,105
14,4,1,808,4.145713239675236,13.195432597853909,101
14,5,0,728,-0.7363032167407239,13.691905592340945,91
14,5,1,824,-4.692460769569642,13.339819892350985,103
14,6,0,760,-4.773803704884355,14.653378396520962,95
14,6,1,840,-2.965984805035722,15.172180946456422,105
14,7,0,808,3.163311851219528,12.496180290591388,101
14,7,1,856,-5.96018817764804,11.609647425772426,107
14,8,0,808,-5.227798738341734,12.709990002563407,101
14,8,1,824,-1.133592118131437,11.110320346976506,103
14,9,0,744,-3.551424257555223,11.2968966444231,93
14,9,1,728,-2.3214905606543343,10.208193810839424,91
14,10,0,824,5.414552504876569,10.393847523096406,103
14,10,1,760,-4.665262128141059,8.263142389391337,95
14,11,0,856,-2.947609741869622,9.82135797036454,107
14,11,1,728,4.978806563956574,9.000575239881632,91
15,0,0,744,2.229699382582132,8.739399460180229,93
15,0,1,760,27.79806017674206,31.459074277461507,95
15,1,0,824,0.8420404846688813,10.396643951225021,103
15,1,1,744,-2.5011621445600283,9.178768084449748,93
15,2,0,760,-8.449912865447189,9.875615638836708,95
15,2,1,840,1.415754230110711,12.453067229423485,105
15,3,0,728,-3.547388245006417,11.865078018890753,91
15,3,1,856,0.04082791003669997,11.714268490589948,107
15,4,0,856,-5.0339347680338316,13.440708922187351,107
15,4,1,728,7.985104218874377,13.21814873109813,91
15,5,0,760,9.492800399154914,13.287105127037345,95
15,5,1,808,-1.3589531766319596,14.800988071232629,101
15,6,0,744,1.9659251621533125,12.123989427634914,93
15,6,1,824,15.118826364991572,13.852168071820648,103
15,7,0,744,-1.0655585406884778,10.351668943078927,93
15,7,1,856,-3.025113925957543,11.52247667679256,107
15,8,0,760,-5.503840704896375,10.613353543078398,95
15,8,1,792,-0.9195095120230536,13.444646025583554,99
15,9,0,728,-8.232554847006496,9.210099683306279,91
15,9,1,760,-2.5015455038814562,9.431002644300134,95
15,10,0,760,-10.438908021446656,9.244415609412593,95
15,10,1,728,8.951452563622755,10.268384295102138,91
15,11,0,840,0.4247762896075032,11.118139162985676,105
15,11,1,728,-0.37306685285390123,9.929075396786562,91
16,0,0,760,-2.7087064647573236,8.113144251175607,95
16,0,1,712,7.356769632254637,9.977651619346647,89
16,1,0,760,-2.824957395335534,8.409035199541355,95
16,1,1,808,-3.4967553169301544,10.401802274584526,101
16,2,0,824,0.6015021589734233,10.90385560030489,103
16,2,1,760,19.42379344950278,11.457469173171852,95
16,3,0,784,-2.979027824842803,12.295765013273279,98
16,3,1,744,-5.189964787627339,12.254265957710139,93
16,4,0,760,18.65295884094273,14.805794822554391,95
16,4,1,792,-6.22567670321705,16.011548595346763,99
16,5,0,792,-5.653407216340241,14.637735916161144,99
16,5,1,824,-3.751361243193784,13.147136160531751,103
16,6,0,760,2.047614360935556,13.280765229850077,95
16,6,1,760,13.248716325525779,13.615292623536073,95
16,7,0,792,-0.4541933561745866,13.935361043564713,99
16,7,1,760,13.099933977163866,12.74694150649575,95
16,8,0,840,2.9634307302955816,10.028558666023873,105
16,8,1,760,6.905973384352712,8.81797824274481,95
16,9,0,728,6.183388167662395,13.068986550166219,91
16,9,1,760,-0.3952769087379563,8.524913833638873,95
16,10,0,792,-9.459953680513404,10.992945243730478,99
16,10,1,792,-2.7142006882896474,11.085579026012159,99
16,11,0,824,-1.1249934370570014,8.395456232035883,103
16,11,1,760,2.5360851808634775,8.366381583469172,95
17,0,0,712,2.4873719616529546,8.653357606348857,89
17,0,1,808,0.3797817730064226,9.350319300572055,101
17,1,0,728,5.635733766195014,9.461793191825823,91
17,1,1,792,-10.652696218848467,10.309752859372649,99
17,2,0,760,2.698030501724222,10.027865832927084,95
17,2,1,760,-8.538983668265436,10.209721548440562,95
17,3,0,728,-3.6229461919945596,12.268375118970694,91
17,3,1,760,-4.4383681168160445,10.517389083937255,95
17,4,0,808,2.6563178271836687,12.086454086552612,101
17,4,1,808,-2.110357619389745,12.085823246767806,101
17,5,0,760,5.939257922460532,15.001093717378158,95
17,5,1,824,1.3651737695332036,14.169205055421473,103
17,6,0,760,17.61577652117408,14.898798528369905,95
17,6,1,824,-4.5094193637525475,14.559839709976602,103
17,7,0,728,7.487329057696147,12.329129663903341,91
17,7,1,808,-5.410896120821356,13.141840566940628,101
17,8,0,760,-7.439731716631659,9.571916346879737,95
17,8,1,792,6.340006922232301,11.379654714601186,99
17,9,0,824,2.534366032866478,8.886286265851288,103
17,9,1,840,3.060657302443968,10.019893875361104,105
17,10,0,760,-5.602161915674766,9.518117167148633,95
17,10,1,856,3.9892251207277574,10.814823853728818,107
17,11,0,824,-7.052282336246954,10.263302603074923,103
17,11,1,728,-0.5143913971490552,10.703334118688222,91
18,0,0,808,-1.733900066560015,10.230228129346004,101
18,0,1,792,6.286069695323861,11.673102184524325,99
18,1,0,808,5.628638956028909,10.36803316527903,101
18,1,1,792,-0.7992140985949036,11.875697970553674,99
18,2,0,760,5.116471302763437,10.045756667666987,95
