,layer,strip,pedestal_end0,std_dev_end0,pedestal_per_time_sample_end0,pedestal_per_time_sample_std_dev_end0,pedestal_end1,std_dev_end1,pedestal_per_time_sample_end1,pedestal_per_time_sample_std_dev_end1
124,14,4,840,15.303684233854913,105,2.1670143470741707,808,13.195432597853909,101,1.6287970783990926
125,14,5,728,13.691905592340945,91,2.279808839601558,824,13.339819892350985,103,1.5687884006016677
126,14,6,760,14.653378396520962,95,1.3913738635599984,840,15.172180946456422,105,2.1928399458923487
127,14,7,808,12.496180290591388,101,1.6143886250332826,856,11.609647425772426,107,1.6418572259291468
128,14,8,808,12.709990002563408,101,1.7265622507796716,824,11.110320346976506,103,1.4062054250935492
129,14,9,744,11.2968966444231,93,1.5672674729282263,728,10.208193810839424,91,1.4610784809968662
130,14,10,824,10.393847523096406,103,1.485455462965258,760,8.263142389391337,95,1.0791357828610133
131,14,11,856,9.82135797036454,107,1.4759929604539432,728,9.000575239881632,91,1.4308328910537067
132,15,0,744,8.739399460180229,93,1.4583561188552443,760,31.459074277461507,95,1.4882067925975755
133,15,1,824,10.39664395122502,103,1.4699000029553704,744,9.178768084449748,93,1.4789060061471095
134,15,2,760,9.875615638836708,95,1.5029178808545407,840,12.453067229423484,105,1.8992960979334697
135,15,3,728,11.865078018890753,91,1.4680890558861928,856,11.714268490589948,107,1.8561075998858672
136,15,4,856,13.440708922187351,107,1.889342748954567,728,13.21814873109813,91,1.439494691461045
137,15,5,760,13.287105127037345,95,1.2511795757094637,808,14.800988071232627,101,1.7901697105376986
138,15,6,744,12.123989427634914,93,1.507064811703971,824,13.852168071820648,103,1.4497098849798964
139,15,7,744,10.351668943078929,93,1.5224676473607317,856,11.52247667679256,107,1.9248042746247973
140,15,8,760,10.613353543078398,95,1.1108631036935086,792,13.444646025583554,99,1.3516875230715215
141,15,9,728,9.21009968330628,91,1.274444263605157,760,9.431002644300134,95,1.0669537410052796
142,15,10,760,9.244415609412592,95,1.046883743645321,728,10.268384295102138,91,1.4355651642013474
143,15,11,840,11.118139162985676,105,1.5594386339846296,728,9.929075396786562,91,1.4333911844572198
144,16,0,760,8.113144251175607,95,1.1084479957807143,712,9.977651619346648,89,1.6896096626938897
145,16,1,760,8.409035199541355,95,1.0640031874414324,808,10.401802274584526,101,1.602573293324985
146,16,2,824,10.90385560030489,103,1.4113125454932458,760,11.457469173171852,95,1.3715421404803336
147,16,3,784,12.29576501327328,98,1.8452798567733395,744,12.25426595771014,93,1.6045998514606774
148,16,4,760,14.805794822554391,95,1.386599884113794,792,16.011548595346763,99,1.249436740045424
149,16,5,792,14.637735916161144,99,1.3246582690781774,824,13.147136160531751,103,1.3513455536728822
150,16,6,760,13.280765229850076,95,1.129297278683576,760,13.615292623536073,95,1.341553294235884
151,16,7,792,13.935361043564711,99,2.008353754155054,760,12.74694150649575,95,1.358859987689186
152,16,8,840,10.028558666023873,105,1.8650859150542836,760,8.81797824274481,95,1.2318837841956285
153,16,9,728,13.06898655016622,91,1.644145065048378,760,8.524913833638873,95,1.0454237237501136
154,16,10,792,10.992945243730478,99,2.0771990071794417,792,11.08557902601216,99,1.988016324017725
155,16,11,824,8.395456232035883,103,1.3139732096018777,760,8.366381583469172,95,1.1440985405911128
156,17,0,712,8.653357606348857,89,1.4045186425107763,808,9.350319300572057,101,1.4005475847124598
